age,education_level,years_of_experience,technical_test_score,interview_score,previous_employment,suitable_for_employment
57.0,,,52.6,8.1,No,No
21.0,Bachelor's,0,81.9,6.7,Yes,No
19.0,Master's,0,47.3,2.8,Yes,No
23.0,PhD,0,29.9,6.7,No,No
59.0,Master's,33,25.7,7.2,Yes,Yes
21.0,High School,2,35.6,2.1,Yes,No
46.0,Bachelor's,22,92.2,10.0,No,Yes
35.0,Bachelor's,12,65.3,7.1,No,No
43.0,High School,24,75.0,7.8,No,Yes
61.0,PhD,34,75.7,4.2,Yes,Yes
51.0,High School,32,66.1,7.9,Yes,Yes
27.0,High School,9,63.5,8.7,No,No
53.0,PhD,26,85.9,7.0,Yes,Yes
31.0,Bachelor's,9,67.9,6.5,Yes,No
48.0,High School,29,93.0,4.7,Yes,Yes
65.0,Bachelor's,43,77.4,6.1,Yes,Yes
32.0,Bachelor's,8,52.6,5.5,Yes,No
25.0,High School,5,55.1,7.6,Yes,No
31.0,PhD,3,50.5,4.8,Yes,No
40.0,Bachelor's,18,89.4,7.6,No,Yes
57.0,Bachelor's,33,56.9,4.8,Yes,Yes
38.0,Bachelor's,15,49.0,6.0,Yes,No
33.0,Bachelor's,10,71.4,7.7,Yes,Yes
62.0,Bachelor's,39,63.1,5.1,Yes,Yes
35.0,Bachelor's,12,70.9,7.8,No,Yes
64.0,Bachelor's,41,100.0,7.6,No,Yes
41.0,Master's,,83.3,6.0,No,Yes
43.0,,,65.5,8.8,No,Yes
42.0,Bachelor's,20,36.8,6.7,No,No
62.0,Master's,38,55.0,8.7,Yes,Yes
58.0,High School,40,79.2,10.0,Yes,Yes
46.0,High School,27,41.6,6.0,Yes,No
32.0,Bachelor's,9,100.0,7.8,Yes,Yes
62.0,Bachelor's,38,65.3,5.2,Yes,Yes
18.0,High School,0,66.0,4.4,Yes,No
42.0,Bachelor's,20,51.7,6.1,Yes,No
24.0,Bachelor's,1,74.9,3.8,Yes,No
26.0,Bachelor's,2,41.8,4.6,Yes,No
41.0,Bachelor's,17,100.0,7.7,,Yes
18.0,Bachelor's,,91.3,5.5,No,Yes
61.0,Master's,35,84.7,7.9,Yes,Yes
25.0,PhD,0,37.2,7.1,No,No
41.0,Master's,16,69.1,10.0,No,Yes
28.0,Bachelor's,6,89.2,7.5,Yes,Yes
34.0,Bachelor's,10,76.9,,Yes,Yes
25.0,Bachelor's,1,45.0,7.3,Yes,No
52.0,High School,33,52.0,7.1,No,No
52.0,High School,33,56.0,8.8,Yes,Yes
50.0,Bachelor's,28,52.9,7.8,Yes,Yes
22.0,Bachelor's,0,95.6,6.9,Yes,Yes
59.0,Bachelor's,37,26.6,6.9,Yes,Yes
56.0,PhD,29,78.1,7.6,No,Yes
,,,39.2,5.2,Yes,No
,High School,,45.8,5.1,Yes,No
24.0,High School,,24.8,9.4,Yes,No
26.0,Bachelor's,4,54.0,10.0,No,No
25.0,Bachelor's,1,95.2,4.6,No,No
29.0,Bachelor's,,70.3,5.2,Yes,No
51.0,Bachelor's,29,41.0,8.8,Yes,Yes
50.0,Master's,25,85.3,7.6,Yes,Yes
65.0,Master's,40,89.6,7.9,Yes,Yes
40.0,PhD,11,67.1,8.3,No,Yes
41.0,Master's,16,100.0,6.0,Yes,Yes
54.0,Bachelor's,32,81.4,7.2,Yes,Yes
52.0,High School,32,78.7,7.0,Yes,Yes
61.0,High School,41,48.9,4.8,Yes,No
57.0,High School,37,77.5,7.1,Yes,Yes
39.0,Bachelor's,17,69.3,9.0,Yes,Yes
44.0,Master's,19,75.4,5.8,Yes,Yes
52.0,Bachelor's,28,51.3,6.8,No,No
18.0,High School,0,67.6,6.9,Yes,No
52.0,Bachelor's,29,48.7,5.9,Yes,Yes
54.0,PhD,26,22.1,7.9,Yes,Yes
64.0,Bachelor's,40,85.0,5.1,Yes,Yes
31.0,Master's,7,35.0,9.2,Yes,Yes
20.0,Master's,0,67.1,7.8,Yes,Yes
18.0,PhD,0,71.7,4.6,Yes,No
22.0,Master's,0,71.5,9.9,Yes,Yes
43.0,Master's,17,59.3,6.8,Yes,Yes
31.0,High School,11,70.4,5.1,Yes,No
56.0,High School,37,74.4,8.7,No,Yes
44.0,Bachelor's,22,79.7,7.5,Yes,Yes
26.0,High School,7,99.7,3.0,Yes,No
32.0,PhD,5,69.7,5.4,Yes,No
32.0,Bachelor's,9,66.3,7.1,Yes,Yes
43.0,Master's,17,46.9,2.2,No,No
,Bachelor's,,73.7,6.7,Yes,Yes
30.0,Bachelor's,8,78.3,6.8,Yes,Yes
49.0,PhD,20,61.2,4.1,Yes,No
56.0,Bachelor's,34,75.9,7.0,Yes,Yes
49.0,Bachelor's,,59.1,6.5,Yes,Yes
21.0,High School,1,78.4,4.1,Yes,No
47.0,Bachelor's,23,83.3,8.3,Yes,Yes
54.0,Bachelor's,32,83.0,8.2,Yes,Yes
40.0,Bachelor's,18,67.4,5.9,No,No
56.0,Bachelor's,34,44.2,6.1,Yes,Yes
62.0,Master's,36,52.8,8.0,Yes,Yes
32.0,Master's,7,76.9,6.1,Yes,Yes
60.0,Bachelor's,38,100.0,2.6,No,Yes
46.0,Bachelor's,23,58.2,7.5,Yes,Yes
53.0,Master's,29,74.1,4.9,No,Yes
30.0,Bachelor's,7,53.9,5.7,Yes,No
49.0,Bachelor's,27,45.5,9.4,Yes,Yes
24.0,Bachelor's,1,51.5,6.2,No,No
39.0,Master's,13,23.4,6.5,No,No
45.0,Bachelor's,23,92.1,7.5,Yes,Yes
19.0,Bachelor's,0,20.4,7.5,Yes,No
59.0,Bachelor's,35,59.7,4.7,Yes,Yes
62.0,Bachelor's,40,41.4,6.4,Yes,Yes
,High School,,47.3,6.6,No,No
45.0,Bachelor's,23,92.5,7.0,Yes,Yes
45.0,Master's,19,69.0,7.1,Yes,Yes
61.0,PhD,32,45.7,10.0,Yes,Yes
61.0,Bachelor's,38,53.2,4.1,Yes,Yes
37.0,Bachelor's,13,49.7,8.5,Yes,Yes
47.0,High School,27,64.1,8.9,Yes,Yes
28.0,Master's,4,68.5,7.5,Yes,Yes
45.0,Master's,19,100.0,5.2,No,Yes
42.0,High School,24,26.7,9.8,Yes,Yes
56.0,High School,36,64.3,2.1,Yes,No
50.0,Master's,24,58.7,5.1,Yes,Yes
18.0,Bachelor's,0,83.9,8.8,Yes,Yes
44.0,Bachelor's,20,72.1,5.8,Yes,Yes
30.0,High School,10,76.8,9.7,No,Yes
58.0,Bachelor's,36,71.9,3.5,No,No
20.0,Bachelor's,0,46.4,4.3,No,No
56.0,Master's,31,89.2,5.4,Yes,Yes
23.0,Bachelor's,0,81.0,7.3,No,No
25.0,Bachelor's,3,83.3,6.1,Yes,No
44.0,Bachelor's,20,90.3,5.5,Yes,Yes
26.0,Bachelor's,3,73.4,9.3,Yes,Yes
54.0,High School,36,,9.5,Yes,Yes
50.0,Bachelor's,28,72.6,5.7,Yes,Yes
59.0,Master's,34,60.6,3.1,Yes,Yes
61.0,High School,41,64.9,2.2,Yes,No
41.0,High School,23,64.5,7.0,Yes,Yes
32.0,High School,14,54.6,7.8,Yes,No
49.0,Bachelor's,26,97.6,6.6,No,Yes
49.0,Master's,24,70.9,6.4,No,Yes
41.0,High School,22,66.9,4.9,Yes,No
58.0,PhD,29,72.8,7.8,Yes,Yes
29.0,High School,9,100.0,9.9,Yes,Yes
56.0,Master's,30,42.4,2.1,Yes,No
19.0,Bachelor's,,48.1,6.3,No,No
20.0,Bachelor's,0,37.4,4.6,Yes,No
54.0,Bachelor's,30,60.3,3.5,No,No
34.0,Bachelor's,11,69.9,4.2,No,No
19.0,Master's,0,55.7,7.3,Yes,No
19.0,Master's,0,54.2,7.3,No,No
45.0,Bachelor's,23,67.8,9.4,Yes,Yes
40.0,High School,21,55.0,6.5,Yes,No
54.0,High School,36,71.2,3.0,No,No
49.0,Master's,24,87.3,6.0,Yes,Yes
50.0,Bachelor's,27,78.5,3.7,Yes,Yes
18.0,Bachelor's,0,82.6,4.1,,No
36.0,Bachelor's,13,86.7,7.7,No,Yes
19.0,Master's,0,70.7,6.9,Yes,No
61.0,Bachelor's,39,61.8,7.7,No,Yes
43.0,Master's,19,49.6,5.8,Yes,No
49.0,Master's,25,57.2,8.1,Yes,Yes
23.0,Bachelor's,0,54.5,5.7,Yes,No
49.0,Bachelor's,26,79.6,8.7,Yes,Yes
21.0,Master's,0,71.9,7.2,Yes,Yes
,Bachelor's,,78.9,6.1,No,Yes
34.0,PhD,5,41.8,6.9,Yes,No
55.0,High School,35,93.6,6.5,No,Yes
41.0,High School,21,56.5,9.7,Yes,Yes
22.0,PhD,0,43.0,7.0,Yes,No
51.0,Bachelor's,28,56.2,6.5,Yes,Yes
23.0,Bachelor's,0,100.0,6.0,Yes,Yes
39.0,Master's,13,57.2,8.2,Yes,Yes
28.0,Bachelor's,4,58.5,7.9,Yes,No
65.0,Bachelor's,42,61.2,6.0,,Yes
33.0,High School,13,62.0,4.2,Yes,No
50.0,Master's,24,49.4,4.7,Yes,No
26.0,Master's,1,67.9,6.1,No,No
23.0,High School,3,86.5,9.2,No,Yes
33.0,,,71.3,6.0,No,No
46.0,Master's,20,42.8,5.3,No,No
20.0,Bachelor's,0,58.1,3.0,Yes,No
37.0,Bachelor's,13,54.0,9.5,No,Yes
53.0,Bachelor's,31,66.1,7.6,No,Yes
36.0,Bachelor's,13,91.6,8.1,No,Yes
43.0,Master's,19,62.0,8.4,Yes,Yes
20.0,Master's,0,63.2,6.2,No,No
36.0,Bachelor's,,100.0,6.7,Yes,Yes
37.0,Bachelor's,15,82.5,9.5,Yes,Yes
49.0,High School,31,76.5,6.9,Yes,Yes
24.0,High School,4,100.0,7.7,No,Yes
,Bachelor's,,74.8,8.2,Yes,Yes
50.0,High School,30,25.3,7.8,No,No
57.0,Bachelor's,33,81.7,6.2,Yes,Yes
56.0,Bachelor's,32,33.2,6.4,Yes,No
35.0,Master's,,74.0,8.1,Yes,Yes
57.0,,,30.7,8.1,Yes,No
18.0,Bachelor's,0,55.7,8.8,Yes,No
28.0,Bachelor's,4,57.7,7.6,Yes,No
45.0,High School,26,49.6,7.7,Yes,Yes
42.0,High School,24,58.0,5.6,Yes,No
40.0,Bachelor's,18,85.7,5.3,Yes,Yes
48.0,Master's,23,50.7,8.1,No,Yes
47.0,High School,27,75.9,5.4,Yes,Yes
59.0,Master's,34,45.7,6.5,Yes,Yes
52.0,PhD,25,61.2,9.3,Yes,Yes
24.0,Master's,0,71.5,8.9,No,Yes
33.0,High School,15,45.1,7.1,Yes,No
43.0,PhD,15,38.8,5.9,Yes,No
65.0,High School,45,74.8,6.3,Yes,Yes
19.0,Bachelor's,0,87.5,8.2,No,Yes
18.0,Master's,,63.4,6.4,Yes,Yes
65.0,Bachelor's,43,55.9,5.4,Yes,Yes
29.0,Bachelor's,5,68.1,8.9,Yes,Yes
22.0,Bachelor's,0,66.1,6.9,No,No
54.0,Bachelor's,32,69.9,5.3,Yes,Yes
49.0,Bachelor's,27,14.4,7.5,Yes,No
26.0,Bachelor's,4,43.6,,Yes,No
58.0,PhD,30,48.1,4.5,No,No
52.0,PhD,24,68.0,6.1,No,Yes
36.0,Master's,10,68.7,6.0,Yes,Yes
65.0,Bachelor's,42,77.7,7.4,Yes,Yes
33.0,Bachelor's,11,70.2,7.8,Yes,Yes
20.0,PhD,0,39.0,5.4,Yes,No
37.0,Master's,12,93.9,3.5,Yes,Yes
41.0,Bachelor's,17,90.4,8.6,No,Yes
50.0,High School,30,39.8,4.3,Yes,No
41.0,High School,21,71.7,7.0,,Yes
28.0,Bachelor's,6,53.1,6.2,No,No
25.0,Bachelor's,3,67.8,6.8,Yes,No
53.0,Master's,28,86.1,9.8,No,Yes
,,,100.0,10.0,Yes,Yes
57.0,High School,39,80.0,3.2,No,No
37.0,Bachelor's,13,70.9,8.5,No,Yes
52.0,Bachelor's,28,58.2,6.2,No,No
65.0,High School,47,68.6,8.6,Yes,Yes
42.0,Bachelor's,18,92.2,8.4,Yes,Yes
52.0,Bachelor's,30,64.1,9.3,No,Yes
42.0,Master's,16,47.3,7.1,Yes,Yes
46.0,Bachelor's,23,32.6,4.7,No,No
35.0,Bachelor's,12,75.3,8.4,Yes,Yes
63.0,Bachelor's,41,69.9,6.7,Yes,Yes
35.0,Master's,11,52.1,6.0,Yes,No
19.0,High School,1,85.5,5.5,Yes,No
52.0,Master's,28,56.6,8.5,No,Yes
33.0,Bachelor's,11,62.3,9.7,No,Yes
58.0,Master's,32,64.7,4.1,Yes,Yes
53.0,Master's,28,58.0,7.7,,Yes
50.0,Bachelor's,26,69.7,5.8,Yes,Yes
21.0,Bachelor's,0,88.0,3.6,No,No
50.0,High School,30,42.2,6.8,,No
31.0,Master's,5,74.8,4.8,Yes,No
38.0,Bachelor's,14,68.4,3.3,Yes,No
65.0,Bachelor's,43,68.1,4.9,Yes,Yes
37.0,Master's,12,82.4,4.4,No,No
25.0,Master's,1,66.0,5.2,Yes,No
24.0,High School,6,74.6,3.8,No,No
20.0,Bachelor's,0,79.3,5.7,No,No
34.0,Bachelor's,11,54.9,5.1,Yes,No
50.0,Bachelor's,27,71.0,7.3,No,Yes
65.0,Bachelor's,42,60.0,7.7,Yes,Yes
29.0,Bachelor's,6,62.3,7.0,Yes,No
39.0,Bachelor's,17,58.6,6.0,No,No
39.0,Master's,15,74.4,6.0,Yes,Yes
63.0,High School,44,66.6,4.8,Yes,Yes
47.0,Bachelor's,25,72.9,4.9,Yes,Yes
55.0,High School,36,,7.9,Yes,Yes
,High School,,32.9,3.0,No,No
62.0,High School,44,65.6,6.3,No,Yes
25.0,Bachelor's,1,66.3,5.9,Yes,No
44.0,Master's,18,69.9,7.7,Yes,Yes
44.0,High School,25,53.1,3.6,No,No
51.0,High School,32,41.1,6.5,Yes,No
38.0,PhD,11,77.5,7.2,,Yes
47.0,High School,28,59.5,2.7,No,No
50.0,Master's,25,68.4,4.4,No,No
45.0,High School,27,59.4,6.3,Yes,No
64.0,Master's,39,64.9,7.5,No,Yes
50.0,Bachelor's,27,56.0,6.9,Yes,Yes
22.0,Master's,0,45.6,,Yes,No
65.0,Master's,39,74.5,4.3,Yes,Yes
36.0,Bachelor's,12,52.9,3.3,Yes,No
21.0,High School,2,68.3,6.7,Yes,No
52.0,Master's,28,73.2,,No,Yes
34.0,Bachelor's,10,53.3,4.8,No,No
61.0,High School,42,40.9,8.4,Yes,Yes
45.0,High School,25,100.0,6.9,No,Yes
47.0,Master's,23,54.4,5.4,Yes,Yes
46.0,,,77.5,5.1,Yes,Yes
63.0,Bachelor's,41,100.0,7.7,Yes,Yes
23.0,Bachelor's,1,80.8,6.9,Yes,Yes
52.0,Master's,28,59.0,4.1,Yes,Yes
58.0,PhD,31,63.7,2.6,No,No
54.0,PhD,27,48.3,10.0,Yes,Yes
,High School,,82.6,4.1,Yes,No
46.0,Master's,21,76.3,7.6,No,Yes
63.0,Bachelor's,39,54.7,9.5,Yes,Yes
48.0,Bachelor's,26,44.2,,Yes,Yes
52.0,Bachelor's,28,38.6,5.3,Yes,No
50.0,High School,30,84.7,3.6,Yes,No
38.0,PhD,10,67.4,3.6,No,No
49.0,High School,31,,7.3,Yes,Yes
40.0,Bachelor's,18,48.5,9.4,Yes,Yes
50.0,Master's,25,35.7,5.7,Yes,No
20.0,Master's,0,84.3,5.4,Yes,No
35.0,High School,16,65.8,7.9,Yes,Yes
42.0,Bachelor's,19,83.1,5.1,Yes,Yes
59.0,Master's,34,57.3,7.0,Yes,Yes
48.0,Bachelor's,24,60.3,6.6,Yes,Yes
20.0,Bachelor's,0,,5.7,Yes,No
57.0,Bachelor's,35,79.6,6.5,No,Yes
63.0,Bachelor's,41,81.0,10.0,No,Yes
41.0,Master's,16,59.1,7.7,Yes,Yes
49.0,Bachelor's,26,77.3,8.7,Yes,Yes
64.0,Bachelor's,41,87.2,4.7,Yes,Yes
39.0,Bachelor's,16,62.9,8.7,Yes,Yes
40.0,Bachelor's,17,54.7,7.8,Yes,Yes
19.0,High School,1,91.9,3.5,,No
44.0,Bachelor's,20,51.9,,No,No
59.0,Bachelor's,36,77.6,5.5,Yes,Yes
19.0,Bachelor's,0,63.8,3.4,No,No
43.0,Bachelor's,20,28.2,6.8,Yes,No
34.0,Bachelor's,12,87.6,7.6,Yes,Yes
57.0,Bachelor's,35,9.8,6.8,No,No
50.0,High School,,25.3,6.3,Yes,No
26.0,PhD,0,75.5,5.8,No,No
60.0,Bachelor's,36,75.5,10.0,Yes,Yes
65.0,High School,45,52.2,4.1,,No
56.0,High School,38,68.0,8.2,No,Yes
46.0,PhD,17,14.4,6.5,Yes,No
59.0,High School,40,79.1,4.8,No,Yes
,Master's,,70.0,6.4,Yes,Yes
52.0,,,64.1,3.7,Yes,No
42.0,PhD,15,65.4,5.3,Yes,Yes
41.0,Master's,17,74.9,6.4,Yes,Yes
30.0,Bachelor's,8,64.4,3.4,Yes,No
24.0,High School,5,27.5,7.5,Yes,No
53.0,Bachelor's,31,100.0,4.6,No,Yes
,Bachelor's,,89.0,3.6,Yes,No
37.0,Bachelor's,14,39.3,4.3,No,No
18.0,Bachelor's,0,58.1,10.0,Yes,Yes
25.0,High School,7,60.3,2.5,Yes,No
63.0,Bachelor's,40,,7.4,No,Yes
33.0,Bachelor's,11,21.8,5.0,No,No
31.0,Bachelor's,7,55.0,5.8,No,No
29.0,High School,11,29.8,7.7,Yes,No
40.0,PhD,11,59.3,7.6,Yes,Yes
32.0,Bachelor's,10,55.5,5.1,Yes,No
45.0,Master's,20,66.6,3.8,Yes,No
51.0,Bachelor's,27,52.9,7.7,Yes,Yes
19.0,High School,1,50.0,7.6,Yes,No
49.0,Bachelor's,25,77.4,5.9,Yes,Yes
40.0,Bachelor's,16,74.1,7.4,No,Yes
39.0,Master's,14,76.0,5.6,No,No
42.0,,,61.5,4.8,Yes,No
39.0,Bachelor's,16,53.6,6.5,Yes,No
39.0,PhD,,62.6,7.5,Yes,Yes
59.0,Bachelor's,36,75.0,7.1,Yes,Yes
23.0,PhD,0,21.5,7.5,No,No
32.0,PhD,3,72.9,5.0,Yes,No
60.0,High School,42,71.2,9.7,No,Yes
54.0,Bachelor's,32,66.2,5.8,Yes,Yes
50.0,Bachelor's,28,62.0,6.3,No,Yes
25.0,Bachelor's,2,13.7,3.9,Yes,No
61.0,Bachelor's,37,56.2,6.1,No,Yes
61.0,PhD,32,100.0,7.6,Yes,Yes
22.0,Master's,0,65.3,8.0,,Yes
56.0,High School,38,58.9,9.6,Yes,Yes
21.0,High School,1,65.3,7.5,Yes,No
23.0,Bachelor's,0,72.1,7.1,Yes,No
62.0,High School,44,78.2,5.6,No,Yes
49.0,Master's,25,60.4,5.2,Yes,Yes
47.0,Bachelor's,23,73.5,8.4,Yes,Yes
64.0,Bachelor's,40,98.5,8.4,No,Yes
,High School,,85.1,4.3,Yes,No
57.0,Master's,33,100.0,7.9,Yes,Yes
,High School,,51.9,7.8,No,No
30.0,Master's,6,98.5,4.3,Yes,Yes
59.0,Bachelor's,36,49.2,7.6,Yes,Yes
47.0,Master's,22,72.1,4.4,No,No
36.0,Bachelor's,13,79.6,1.6,Yes,No
34.0,High School,15,54.8,6.2,No,No
36.0,Master's,12,66.8,7.0,Yes,Yes
45.0,High School,27,83.2,6.3,Yes,Yes
43.0,Bachelor's,21,50.8,10.0,Yes,Yes
54.0,High School,35,98.4,7.3,No,Yes
43.0,Master's,19,37.3,6.8,No,No
40.0,PhD,11,100.0,7.4,Yes,Yes
26.0,Bachelor's,3,85.0,5.6,Yes,No
29.0,Bachelor's,5,63.2,8.4,Yes,Yes
18.0,Master's,,56.9,7.2,Yes,Yes
18.0,High School,0,54.9,7.1,No,No
64.0,PhD,36,62.3,5.3,No,Yes
51.0,High School,31,64.0,3.4,No,No
49.0,PhD,21,90.1,5.5,Yes,Yes
65.0,Master's,39,100.0,7.1,Yes,Yes
42.0,Master's,18,69.0,5.6,Yes,Yes
57.0,Bachelor's,33,48.1,7.1,Yes,Yes
62.0,Bachelor's,40,54.1,6.0,Yes,Yes
18.0,Bachelor's,0,61.3,7.4,,No
33.0,High School,15,44.4,4.5,Yes,No
56.0,Bachelor's,32,41.4,6.9,Yes,Yes
22.0,Bachelor's,0,100.0,5.2,Yes,No
39.0,Master's,15,71.1,3.4,No,No
46.0,,,48.3,,No,No
20.0,High School,2,81.3,9.6,Yes,Yes
29.0,Bachelor's,5,41.4,3.6,No,No
43.0,Bachelor's,19,43.1,6.7,Yes,No
33.0,High School,15,48.9,8.1,Yes,No
54.0,Bachelor's,31,98.1,10.0,Yes,Yes
39.0,Master's,15,59.9,5.5,Yes,No
46.0,Bachelor's,23,16.2,5.2,Yes,No
31.0,Bachelor's,9,89.2,4.2,Yes,No
45.0,Bachelor's,21,,8.8,Yes,Yes
22.0,Master's,0,28.0,4.8,Yes,No
64.0,Bachelor's,40,58.7,5.8,Yes,Yes
47.0,Master's,22,75.4,2.8,No,No
63.0,High School,44,73.1,8.3,Yes,Yes
22.0,Master's,0,100.0,8.8,Yes,Yes
29.0,,,47.9,8.2,Yes,Yes
33.0,Bachelor's,10,65.9,3.3,Yes,No
43.0,Bachelor's,19,51.0,7.7,Yes,Yes
,Bachelor's,,34.2,3.2,Yes,No
65.0,High School,46,82.7,6.6,Yes,Yes
38.0,Master's,14,74.3,6.9,No,Yes
56.0,Bachelor's,34,70.7,7.1,Yes,Yes
,PhD,,73.5,7.6,No,Yes
50.0,Master's,,51.3,6.5,No,No
47.0,Bachelor's,23,44.9,2.6,Yes,No
54.0,Master's,28,65.8,7.6,Yes,Yes
40.0,Bachelor's,17,88.2,6.7,Yes,Yes
27.0,High School,7,97.2,4.7,Yes,No
22.0,PhD,0,80.9,3.4,Yes,No
53.0,Bachelor's,29,65.6,9.6,Yes,Yes
51.0,Bachelor's,28,70.4,9.0,Yes,Yes
48.0,Bachelor's,26,65.2,7.9,Yes,Yes
27.0,Bachelor's,5,44.5,5.1,Yes,No
36.0,PhD,9,65.5,1.5,Yes,No
,High School,,38.3,8.0,Yes,No
18.0,Bachelor's,0,62.5,7.2,No,No
22.0,Bachelor's,0,97.7,5.8,Yes,Yes
62.0,Bachelor's,38,81.5,8.7,Yes,Yes
21.0,Bachelor's,0,46.5,8.2,Yes,No
33.0,High School,13,63.6,6.9,Yes,No
41.0,High School,22,48.3,6.6,Yes,No
33.0,Bachelor's,9,63.7,6.6,Yes,No
19.0,PhD,0,85.8,7.9,No,Yes
45.0,High School,25,78.1,4.8,Yes,No
49.0,Master's,25,100.0,7.4,Yes,Yes
44.0,Master's,18,88.8,4.7,Yes,Yes
37.0,Master's,13,69.1,9.2,Yes,Yes
41.0,Master's,15,78.5,7.6,Yes,Yes
29.0,Bachelor's,7,61.0,5.1,Yes,No
52.0,High School,34,42.4,6.7,Yes,No
50.0,Bachelor's,27,91.1,4.8,Yes,Yes
50.0,Bachelor's,26,85.2,9.5,Yes,Yes
60.0,Master's,36,60.2,9.7,Yes,Yes
54.0,Bachelor's,30,70.5,7.9,No,Yes
29.0,Master's,5,89.8,9.6,No,Yes
20.0,High School,1,81.9,6.8,Yes,No
18.0,PhD,0,35.7,8.0,Yes,No
50.0,,,69.9,8.9,,Yes
57.0,Bachelor's,34,61.6,6.5,No,Yes
27.0,Bachelor's,4,87.3,6.6,Yes,Yes
60.0,Master's,36,85.6,8.4,Yes,Yes
,Bachelor's,,91.4,7.8,Yes,Yes
46.0,PhD,17,42.6,5.0,Yes,No
30.0,PhD,2,49.3,2.1,Yes,No
29.0,Master's,4,87.3,6.1,Yes,Yes
48.0,High School,29,53.2,2.3,Yes,No
63.0,Master's,37,34.6,4.5,No,No
19.0,Master's,0,75.7,4.8,No,No
52.0,High School,34,54.1,5.4,No,No
40.0,High School,22,100.0,8.1,Yes,Yes
34.0,High School,16,70.9,8.6,No,Yes
43.0,High School,23,68.2,7.5,No,No
25.0,Bachelor's,1,57.6,7.8,No,No
46.0,PhD,17,96.8,7.8,Yes,Yes
43.0,Bachelor's,20,72.2,1.5,Yes,No
27.0,Bachelor's,3,56.8,6.5,Yes,No
43.0,PhD,16,49.1,2.9,No,No
51.0,Bachelor's,27,63.5,7.5,Yes,Yes
58.0,Master's,33,45.4,2.3,Yes,No
24.0,Bachelor's,2,85.6,6.1,Yes,No
21.0,,,28.8,7.6,Yes,No
62.0,Bachelor's,38,62.2,4.3,No,No
28.0,Bachelor's,,77.2,8.4,Yes,Yes
46.0,High School,28,71.8,7.5,Yes,Yes
53.0,Master's,27,50.7,7.3,No,Yes
42.0,Bachelor's,18,78.2,,Yes,Yes
38.0,Master's,13,47.3,5.8,No,No
53.0,Bachelor's,29,64.6,6.8,Yes,Yes
27.0,High School,7,78.0,6.5,Yes,No
